rule,n,hits,hit_rate,base_rate,lift
effort_low + hvclose_low + range_expand,564,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + volcluster_high + range_expand,558,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + ret20_low + vol_expand,557,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + ret20_low,549,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + ret20_high + range_expand,548,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + dist_high_near + range_expand,543,0,0.0,0.0037542139135764633,0.0
effort_low + hvclose_low + dist_high_near,539,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + ret20_high + range_expand,534,0,0.0,0.0037542139135764633,0.0
effort_low + hvclose_low + ret20_low,528,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + undercut_low + range_expand,528,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + downreject_low + range_expand,526,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + volcluster_high + range_expand,526,0,0.0,0.0037542139135764633,0.0
volcluster_high + dist_high_near + range_expand + vol_expand,525,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + hvclose_low + range_expand,524,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + volcluster_high + dist_high_near,521,0,0.0,0.0037542139135764633,0.0
ret20_high + dist_high_near + range_expand,519,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + ret20_low + range_expand,518,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + range_expand,516,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + dist_high_near + range_expand,516,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + downreject_low + dist_high_near,513,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + ret20_low,508,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + hvclose_low + dist_high_near,508,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_high + range_expand + vol_expand,505,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + hvclose_low + range_expand,503,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + hvclose_low,501,0,0.0,0.0037542139135764633,0.0
effort_low + dist_high_near + range_expand,499,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + volcluster_high + dist_high_near,499,0,0.0,0.0037542139135764633,0.0
hvclose_low + range_expand + vol_expand,496,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_high + range_expand + vol_expand,488,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + ret20_high + range_expand,486,0,0.0,0.0037542139135764633,0.0
