symbol,market_cap_hkd,market_cap_hkd_bn,name
2208.HK,38014095360,38.01,GOLDWIND
7618.HK,37987901440,37.99,JD INDUSTRIALS
0392.HK,37236899840,37.24,BEIJING ENT
0868.HK,36946866176,36.95,XINYI GLASS
3277.HK,36942327808,36.94,GPIXEL
0576.HK,36621168640,36.62,ZHEJIANGEXPRESS
1193.HK,36469571584,36.47,CHINA RES GAS
2282.HK,36059291648,36.06,MGM CHINA
2883.HK,35977805824,35.98,CHINA OILFIELD
0659.HK,35836485632,35.84,CTF SERVICES
3696.HK,35196542976,35.2,INSILICO
1735.HK,34995838976,35.0,CENTRAL NEW EGY
2726.HK,34748997632,34.75,EPIWORLD
2228.HK,34487570432,34.49,XTALPI
0101.HK,34340345856,34.34,HANG LUNG PPT
2788.HK,34237501440,34.24,CHUANGXIN IND
3931.HK,34045917184,34.05,CALB
3888.HK,34018084864,34.02,KINGSOFT
1359.HK,33966434304,33.97,CHINA CINDA
6655.HK,33949999104,33.95,HX BLDG MAT
3330.HK,33834954752,33.83,LINGBAO GOLD
3317.HK,33822685184,33.82,XUNCE
2631.HK,33535602688,33.54,SICC
0598.HK,32927518720,32.93,SINOTRANS
6178.HK,32897972224,32.9,EB SECURITIES
0151.HK,32888758272,32.89,WANT WANT CHINA
2696.HK,32548536320,32.55,HENLIUS
2331.HK,32491108352,32.49,LI NING
2380.HK,32409794560,32.41,CHINA POWER
3969.HK,31610607616,31.61,CHINA CRSC
1133.HK,31374950400,31.37,HARBIN ELECTRIC
0921.HK,30550036480,30.55,HISENSE HA
3360.HK,30484219904,30.48,FE HORIZON
1879.HK,30392881152,30.39,XIZHI TECH-P
2225.HK,30177804288,30.18,JINHAI MED TECH
1963.HK,30093948928,30.09,BCQ
0257.HK,29977720832,29.98,EB ENVIRONMENT
0220.HK,29976176640,29.98,U-PRESID CHINA
0384.HK,29420023808,29.42,CHINA GAS HOLD
3866.HK,29218179072,29.22,BQD
2689.HK,29091768320,29.09,ND PAPER
0552.HK,28881498112,28.88,CHINACOMSERVICE
1392.HK,28816039936,28.82,HQVT
2096.HK,28632682496,28.63,SIMCERE PHARMA
0631.HK,28521789440,28.52,SANY INT'L
0425.HK,28184195072,28.18,MINTH GROUP
2676.HK,28041150464,28.04,NOVOSENSE
2202.HK,28037165056,28.04,CHINA VANKE
1618.HK,27830228992,27.83,MCC
1788.HK,27589191680,27.59,GUOTAI JUNAN I
3320.HK,27328919552,27.33,CHINARES PHARMA
1797.HK,27279050752,27.28,EAST BUY
1882.HK,27243718656,27.24,HAITIAN INT'L
2315.HK,27171584000,27.17,BIOCYTOGEN-B
1128.HK,27166339072,27.17,WYNN MACAU
2245.HK,27119884288,27.12,LYGEND RESOURCE
0867.HK,26934765568,26.93,CMS
1908.HK,26934032384,26.93,C&D INTL GROUP
0995.HK,26807805952,26.81,ANHUIEXPRESSWAY
0268.HK,26401312768,26.4,KINGDEE INT'L
6979.HK,26278776832,26.28,ZJLD
1585.HK,26247491584,26.25,YADEA
