symbol,market,status,delay,entry_price,stop,risk_pct,target_1R,target_2R,both_highs,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score
2382.HK,HK,WATCH,0,,66.19999694824219,,,,,False,2026-09-21,67.3499984741211,67.75,66.19999694824219,69.5,0.7419350075309359,0.6451600200824957,0.2712938888506569,False,True,False,6
2638.HK,HK,WATCH,0,,6.199999809265137,,,,,False,2026-09-21,6.269999980926514,6.28000020980835,6.199999809265137,6.315000057220459,0.8749977648370119,0.7499955296740238,1.2288784862355793,True,False,False,6
1963.HK,HK,WATCH,0,,8.260000228881836,,,,,False,2026-09-21,8.515000343322754,8.520000457763672,8.260000228881836,8.699999809265137,0.9807688075413564,0.7115394490701683,0.5603763161030505,False,True,False,6
0220.HK,HK,WATCH,0,,6.860000133514404,,,,,False,2026-09-21,7.025000095367432,7.039999961853027,6.860000133514404,7.300000190734863,0.9166673289411291,0.4444444444444444,1.1342979670295539,True,False,False,6
1187.HK,HK,WATCH,0,,28.933050674404914,,,,,False,2026-09-21,31.104496002197266,31.104496002197266,28.933050674404914,32.00437545776367,1.0,0.7657654871172305,2.3076342218530543,True,False,False,6
3380.HK,HK,WATCH,0,,1.225000023841858,,,,,False,2026-09-21,1.2599999904632568,1.2649999856948853,1.225000023841858,1.3200000524520874,0.875,0.5,2.471420836811853,True,False,False,6
0694.HK,HK,WATCH,0,,1.4299999475479126,,,,,False,2026-09-21,1.4800000190734863,1.4900000095367432,1.4299999475479126,1.5449999570846558,0.8333336644699066,0.6666653421203734,1.911412309909818,True,False,False,6
0883.HK,HK,WATCH,0,,23.280000686645508,,,,,False,2026-09-21,23.940000534057617,23.959999084472656,23.280000686645508,24.979999542236328,0.970590297743433,0.8823555811115942,0.7791337421845889,False,False,False,5
1088.HK,HK,WATCH,0,,43.959999084472656,,,,,False,2026-09-21,45.099998474121094,45.099998474121094,43.959999084472656,46.619998931884766,1.0,0.56140327394895,0.6563933464146877,False,False,False,5
9633.HK,HK,WATCH,0,,38.400001525878906,,,,,False,2026-09-21,39.2599983215332,39.2599983215332,38.400001525878906,40.15999984741211,1.0,0.7209316767431235,0.8612817808491973,False,False,False,5
0788.HK,HK,WATCH,0,,8.9399995803833,,,,,False,2026-09-21,9.0600004196167,9.0600004196167,8.9399995803833,9.09000015258789,1.0,0.5,0.768570066548205,False,False,False,5
1171.HK,HK,WATCH,0,,11.899999618530273,,,,,False,2026-09-21,12.34000015258789,12.359999656677246,11.899999618530273,13.029999732971191,0.9565228208025376,0.7391307052006344,1.0504963026310175,False,False,False,5
1519.HK,HK,WATCH,0,,8.805000305175781,,,,,False,2026-09-21,9.140000343322754,9.140000343322754,8.805000305175781,9.444999694824219,1.0,0.4925371434753027,1.0483381077792508,False,False,False,5
2319.HK,HK,WATCH,0,,17.520000457763672,,,,,False,2026-09-21,17.979999542236328,18.049999237060547,17.520000457763672,18.420000076293945,0.8679247999078713,0.8679247999078713,0.26183009574763844,False,False,False,5
0168.HK,HK,WATCH,0,,38.86000061035156,,,,,False,2026-09-21,39.70000076293945,39.720001220703125,38.86000061035156,40.2599983215332,0.976743670268448,0.5813949362147585,1.0084273705180105,False,False,False,5
2076.HK,HK,WATCH,0,,57.150001525878906,,,,,False,2026-09-21,58.45000076293945,58.599998474121094,57.150001525878906,64.1500015258789,0.896553084912709,0.6896566239068896,0.04017763399994594,False,False,False,5
3668.HK,HK,WATCH,0,,31.280000686645508,,,,,False,2026-09-21,32.2599983215332,32.439998626708984,31.280000686645508,35.47999954223633,0.8448270475670574,0.4137917993728758,0.42830973778949977,False,False,False,5
2331.HK,HK,WATCH,0,,12.40999984741211,,,,,False,2026-09-21,12.8100004196167,12.890000343322754,12.40999984741211,13.229999542236328,0.8333336644699066,0.5416665838825233,0.775071501426394,False,False,False,5
2380.HK,HK,WATCH,0,,2.609999895095825,,,,,False,2026-09-21,2.6549999713897705,2.6549999713897705,2.609999895095825,2.759999990463257,1.0,0.7777783664646294,0.3306628629158398,False,False,False,5
2525.HK,HK,WATCH,0,,15.989999771118164,,,,,False,2026-09-21,16.56999969482422,16.610000610351562,15.989999771118164,16.850000381469727,0.9354824816417943,0.4032252606449906,0.8513265670732284,False,False,False,5
9896.HK,HK,WATCH,0,,16.84000015258789,,,,,False,2026-09-21,17.329999923706055,17.350000381469727,16.84000015258789,17.8799991607666,0.960783433749584,0.6862749497918746,1.0751950590320452,False,False,False,5
