symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
LILA,WATCH_CLUSTER,C,4,8.81,8.6,8.585,8.443,1.657,66.14,1.01,18,0.17,2,0,0,NONE,True,False,True,False,False,True,True,BULL_CANDLE,BULL,6,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
IMCR,WATCH_CLUSTER,C,4,37.04,36.23,36.44,35.914,1.443,28.74,9.03,9,-0.58,1,0,1,FORMING_NOW,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,4,False,RECLAIM_BREAKOUT|RS20+
OKE,WATCH_CLUSTER,C,4,96.575,94.41,95.48,93.704,1.86,12.1,3.28,10,-1.12,0,1,1,FORMING_NOW,True,False,True,True,False,True,False,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
ASH,WATCH_CLUSTER,D,5,74.73,74.61,74.56,73.055,2.019,31.31,3.95,17,0.07,2,1,2,FORMING_NOW,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,5,False,RECLAIM_BREAKOUT|RS20+
QSR,WATCH_CLUSTER,D,5,78.7,78.35,78.61,77.652,1.219,8.6,3.88,8,-0.33,2,1,2,BOTH,True,False,True,False,False,True,True,SHOOTING_STAR_BULL_BODY,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
XOM,WATCH_CLUSTER,D,5,164.46,162.76,162.51,159.701,1.728,7.97,5.53,10,0.15,2,1,2,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
NMR,WATCH_CLUSTER,D,3,10.255,10.14,10.16,9.932,2.245,22.12,1.01,2,-0.2,2,0,1,PRE_BREAKOUT,True,False,True,False,False,True,True,STRONG_BULL_CANDLE,BULL,6,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
PJT,WATCH_CLUSTER,D,3,181.94,178.81,179.99,175.484,2.503,16.95,6.69,2,-0.66,1,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
OTF,WATCH_CLUSTER,D,3,11.54,11.43,11.44,11.2,2.094,9.41,17.22,17,-0.09,2,0,1,FORMING_NOW,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,2,False,RECLAIM_BREAKOUT
MFA-PB,WATCH_CLUSTER,D,3,20.61,20.4,20.525,20.297,1.11,2.03,1.62,22,-0.61,1,0,2,BOTH,True,False,True,False,False,True,True,STRONG_BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
PBH,WATCH_CLUSTER,D,2,53.255,52.733,53.22,51.802,2.665,16.65,25.07,18,-0.92,1,0,1,FORMING_NOW,True,False,True,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
DXC,WATCH_CLUSTER,D,1,11.585,11.05,11.15,10.895,2.283,26.06,26.12,24,-0.9,1,0,0,NONE,True,False,True,False,False,True,True,BULLISH_ENGULFING,BULL,5,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
