symbol,market,reversal_date,entry_date,delay,rule,entry,reversal_score,ret_3d,maxup_3d,maxdd_3d,ret_5d,maxup_5d,maxdd_5d,ret_10d,maxup_10d,maxdd_10d
CSU.TO,CA,2023-10-30,2023-11-02,3,PREV5_HIGH,2840.879638671875,5,0.010926121085645946,0.01828377597679154,-0.011500904782207333,0.025301379491645237,0.04321708649254874,-0.011500904782207333,0.10827223185352874,0.11134990956542312,-0.011500904782207333
CSU.TO,CA,2023-10-30,2023-11-01,2,REV_HIGH+EMA20,2818.812255859375,5,0.009739859023000008,0.023400807757045117,-0.0037623305303614574,0.033490373818136465,0.035684202103635654,-0.0037623305303614574,0.10410324744248034,0.10568237958082216,-0.0037623305303614574
CSU.TO,CA,2023-10-30,2023-11-02,3,BOTH_HIGHS,2840.879638671875,5,0.010926121085645946,0.01828377597679154,-0.011500904782207333,0.025301379491645237,0.04321708649254874,-0.011500904782207333,0.10827223185352874,0.11134990956542312,-0.011500904782207333
CSU.TO,CA,2023-10-30,2023-11-02,3,BOTH_HIGHS+EMA20,2840.879638671875,5,0.010926121085645946,0.01828377597679154,-0.011500904782207333,0.025301379491645237,0.04321708649254874,-0.011500904782207333,0.10827223185352874,0.11134990956542312,-0.011500904782207333
CSU.TO,CA,2025-02-25,2025-02-26,1,REV_HIGH,4923.4189453125,6,-0.014890567066164317,0.016817424717858298,-0.022403747281947606,0.01085641587430608,0.017153870407655925,-0.027422774292697016,-0.036552720267709726,0.021206258372132858,-0.04464540962741048
CSU.TO,CA,2025-02-25,2025-02-28,3,PREV5_HIGH,4974.92431640625,6,0.00039102353649567156,0.00662328054882666,-0.037491862331320736,-0.007776303914799221,0.010633714157286978,-0.037491862331320736,-0.0577846219983128,0.010633714157286978,-0.08561714491352002
CSU.TO,CA,2025-02-25,2025-02-26,1,REV_HIGH+EMA20,4923.4189453125,6,-0.014890567066164317,0.016817424717858298,-0.022403747281947606,0.01085641587430608,0.017153870407655925,-0.027422774292697016,-0.036552720267709726,0.021206258372132858,-0.04464540962741048
CSU.TO,CA,2025-02-25,2025-02-28,3,BOTH_HIGHS,4974.92431640625,6,0.00039102353649567156,0.00662328054882666,-0.037491862331320736,-0.007776303914799221,0.010633714157286978,-0.037491862331320736,-0.0577846219983128,0.010633714157286978,-0.08561714491352002
CSU.TO,CA,2025-02-25,2025-02-28,3,BOTH_HIGHS+EMA20,4974.92431640625,6,0.00039102353649567156,0.00662328054882666,-0.037491862331320736,-0.007776303914799221,0.010633714157286978,-0.037491862331320736,-0.0577846219983128,0.010633714157286978,-0.08561714491352002
CSU.TO,CA,2025-03-31,2025-04-01,1,REV_HIGH,4593.451171875,6,-0.05173625240077262,0.033066416196557924,-0.06139259867084923,-0.06930669809728274,0.033066416196557924,-0.08693153066876624,0.01327137777244869,0.033066416196557924,-0.08693153066876624
