symbol,group,date,gap_pct,chart_type,ret60,maxdd60,dist60high,pullback60,range10vs20,ema20gt50,closegt20,ema20slope10
PAYO,POWER_GAP,2022-05-13,22.222228109100882,REVERSAL_DEPRESSED,-26.078028968592392,-29.158108239100056,28.143717761145904,26.078028968592392,0.9572954135221853,False,False,-5.7530385482705615
PAYO,CONTROL,2021-10-08,0.0,REVERSAL_DEPRESSED,-12.974679342085405,-23.813957391783248,23.89299000120001,23.25581395348837,0.7142859089131786,False,False,-7.549057481244814
PAYO,CONTROL,2022-01-04,0.0,REVERSAL_DEPRESSED,-12.760730474775372,-33.87270969003014,23.466090821208034,23.30097322099112,0.8801465760765824,False,True,0.4578473911405423
PAYO,CONTROL,2022-03-31,0.0,REVERSAL_DEPRESSED,-34.21829055853313,-42.313322090308915,37.622377920852635,34.69985229916499,0.48461742105639405,False,False,1.9051763027540414
PAYO,POWER_GAP,2022-08-12,17.869724894333984,HIGH_TIGHT,19.831225793471162,-29.477614230742034,4.457532980166382,0.0,0.7238352010249312,True,True,6.072096441700325
PAYO,CONTROL,2022-01-06,0.0,REVERSAL_DEPRESSED,-20.449172710079743,-33.87270969003014,27.556511876119654,27.40021912903923,0.7143217010054623,False,False,1.1954361194977503
PAYO,CONTROL,2022-03-28,0.0,REVERSAL_DEPRESSED,-38.23129223455432,-46.394556349080354,39.78779860978568,38.23129223455432,1.0,False,True,0.8374480419599095
PAYO,CONTROL,2022-06-30,0.0,REVERSAL_DEPRESSED,-16.949147234288798,-29.477614230742034,28.856625890023874,26.865672040129045,0.392045436072943,False,False,-7.2127578911083345
PHVS,POWER_GAP,2022-01-07,15.269455811759535,REVERSAL_DEPRESSED,1.9162766356306316,-26.222223705715606,11.919822946531864,7.2222179836697045,0.7636341135774853,False,True,2.537788960803633
PHVS,CONTROL,2021-06-07,0.0,REVERSAL_DEPRESSED,-34.30420877776667,-43.38461602484429,44.8669217672098,43.21678535087959,0.29262822307182135,False,False,-6.706773098140273
PHVS,CONTROL,2021-08-31,0.0,HIGH_LOOSE,-0.9808673937104495,-37.44941989616949,8.227270299738104,3.889177115302934,0.8403632556835321,True,True,11.004075050081475
PHVS,CONTROL,2021-11-24,0.0,REVERSAL_DEPRESSED,-33.566783966859646,-33.566783966859646,37.09142894832901,33.566783966859646,1.0,False,False,-4.631208326702518
PHVS,POWER_GAP,2022-12-08,66.93227383029327,REVERSAL_DEPRESSED,-72.54129693658852,-78.67528215818606,73.16942690236372,72.96715097779094,0.5744680095550044,False,False,-22.88027225141801
PHVS,CONTROL,2022-05-05,0.0,BASE_ACCUM,-3.491341351741184,-10.520661152794197,10.526315789473683,8.749324928576803,0.7046724707123855,False,False,-2.5912011520312306
PHVS,CONTROL,2022-08-02,0.0,REVERSAL_DEPRESSED,14.455683416879594,-30.036364468661226,30.03636446866122,30.03636446866122,0.6508874954961464,True,False,-4.54789203259327
PHVS,CONTROL,2022-10-26,0.0,REVERSAL_DEPRESSED,-74.01015387171425,-76.6666663455642,77.04035847207513,74.14141372300789,0.4564359840744665,False,False,-17.571437691261437
PHVS,POWER_GAP,2023-12-06,28.257755898350247,REVERSAL_DEPRESSED,5.5415635281125475,-28.971962241983185,4.642688130604681,2.102798428095139,1.0,False,True,2.777131034173008
PHVS,CONTROL,2023-05-03,0.0,HIGH_LOOSE,-7.7083405769530655,-33.95833436813616,9.499492429004597,7.70834057695307,0.8202986685389425,True,True,6.69131578837765
PHVS,CONTROL,2023-07-31,0.0,HIGH_LOOSE,88.26135661918116,-13.606913582484692,9.574464415467624,8.108108108108109,0.8963239822784985,True,True,10.542927255666745
PHVS,CONTROL,2023-10-24,0.0,REVERSAL_DEPRESSED,10.205288893413321,-19.20560175825461,30.04467427939717,12.19625583891567,0.8139999389648436,True,False,-2.9275325621847315
ROKU,POWER_GAP,2023-11-02,18.693466842198127,REVERSAL_DEPRESSED,-26.874079851464174,-34.621189374685315,37.708677958977674,30.734425023917648,0.4787079918761685,False,False,-9.941625429819723
ROKU,CONTROL,2023-03-30,0.0,BASE_ACCUM,45.50177367666031,-16.79708923022861,19.57713818454073,13.890440142301646,0.4971812148921971,True,False,0.25336740090853294
ROKU,CONTROL,2023-06-27,0.0,REVERSAL_DEPRESSED,-3.5095736615031625,-21.0072635017604,15.825048521737758,13.697511235188564,0.7198287161001011,True,False,4.736001925813116
ROKU,CONTROL,2023-09-21,0.0,REVERSAL_DEPRESSED,9.82826726884527,-26.66940257433573,27.23486847122562,26.525798725001287,0.7128483273790193,True,False,-3.907345826548825
ROKU,POWER_GAP,2025-02-14,16.117508492974885,HIGH_TIGHT,26.034557267482672,-11.626255455737944,5.25051580236562,0.0,0.7249954132923903,True,True,2.6518540924213463
ROKU,CONTROL,2024-07-11,0.0,BASE_ACCUM,4.92908766718001,-16.36682434203154,8.87654475754729,3.866269082250699,0.5177422328220139,False,True,6.161915132739981
ROKU,CONTROL,2024-10-04,0.0,HIGH_TIGHT,23.76059975103688,-20.2254116922568,4.720655447832998,2.014199638556804,0.3197338214480379,True,True,4.104287609873847
ROKU,CONTROL,2024-12-31,0.0,BASE_ACCUM,-2.632615817159134,-19.970023635210698,14.305479725774495,11.62625545573795,0.8303572644992527,True,False,-0.37197910603504747
