rule,support,gap_hits,control_hits,gap_coverage,control_coverage,precision_in_sample,lift
near_high_5 + trend_stack + higher_lows_2of2,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + higher_lows_2of2 + ema20_gt_ema50,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + higher_lows_2of2 + close_gt_ema20,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
shallow_pullback_8 + trend_stack + higher_lows_2of2,22,8,14,0.24242424242424243,0.1414141414141414,0.36363636363636365,1.7142857142857144
atr_expand_110 + trend_stack,25,9,16,0.2727272727272727,0.16161616161616163,0.36,1.6874999999999998
range_contract_075 + range_vs_prior_075 + trend_stack,25,9,16,0.2727272727272727,0.16161616161616163,0.36,1.6874999999999998
atr_expand_110 + trend_stack + ema20_gt_ema50,25,9,16,0.2727272727272727,0.16161616161616163,0.36,1.6874999999999998
atr_expand_110 + trend_stack + close_gt_ema20,25,9,16,0.2727272727272727,0.16161616161616163,0.36,1.6874999999999998
atr_expand_110 + ema20_gt_ema50 + close_gt_ema20,25,9,16,0.2727272727272727,0.16161616161616163,0.36,1.6874999999999998
near_high_5 + close_gt_ema20,39,14,25,0.42424242424242425,0.25252525252525254,0.358974358974359,1.68
near_high_5 + shallow_pullback_8 + close_gt_ema20,39,14,25,0.42424242424242425,0.25252525252525254,0.358974358974359,1.68
shallow_pullback_8 + trend_stack,53,19,34,0.5757575757575758,0.3434343434343434,0.3584905660377358,1.6764705882352944
shallow_pullback_8 + trend_stack + ema20_gt_ema50,53,19,34,0.5757575757575758,0.3434343434343434,0.3584905660377358,1.6764705882352944
shallow_pullback_8 + trend_stack + close_gt_ema20,53,19,34,0.5757575757575758,0.3434343434343434,0.3584905660377358,1.6764705882352944
shallow_pullback_8 + ema20_gt_ema50 + close_gt_ema20,53,19,34,0.5757575757575758,0.3434343434343434,0.3584905660377358,1.6764705882352944
near_high_5 + volume_expand_110 + trend_stack,14,5,9,0.15151515151515152,0.09090909090909091,0.35714285714285715,1.6666666666666667
near_high_5 + volume_expand_110 + ema20_gt_ema50,14,5,9,0.15151515151515152,0.09090909090909091,0.35714285714285715,1.6666666666666667
range_contract_075 + trend_stack + higher_lows_2of2,14,5,9,0.15151515151515152,0.09090909090909091,0.35714285714285715,1.6666666666666667
volume_expand_110 + atr_expand_110 + trend_stack,14,5,9,0.15151515151515152,0.09090909090909091,0.35714285714285715,1.6666666666666667
shallow_pullback_8 + ema20_gt_ema50,62,22,40,0.6666666666666666,0.40404040404040403,0.3548387096774194,1.65
shallow_pullback_8 + range_contract_075 + range_vs_prior_075,31,11,20,0.3333333333333333,0.20202020202020202,0.3548387096774194,1.65
near_high_5 + shallow_pullback_8,40,14,26,0.42424242424242425,0.26262626262626265,0.35,1.6153846153846152
trend_stack + higher_lows_2of2,23,8,15,0.24242424242424243,0.15151515151515152,0.34782608695652173,1.6
shallow_pullback_8 + higher_lows_2of2 + close_gt_ema20,23,8,15,0.24242424242424243,0.15151515151515152,0.34782608695652173,1.6
trend_stack + higher_lows_2of2 + ema20_gt_ema50,23,8,15,0.24242424242424243,0.15151515151515152,0.34782608695652173,1.6
trend_stack + higher_lows_2of2 + close_gt_ema20,23,8,15,0.24242424242424243,0.15151515151515152,0.34782608695652173,1.6
higher_lows_2of2 + ema20_gt_ema50 + close_gt_ema20,23,8,15,0.24242424242424243,0.15151515151515152,0.34782608695652173,1.6
shallow_pullback_8 + atr_expand_110 + ema20_gt_ema50,26,9,17,0.2727272727272727,0.1717171717171717,0.34615384615384615,1.588235294117647
