symbol,group,event_date,gap_pct,ret60_pct,max_drawdown60_pct,pullback_from_60d_close_high_pct,dist_from_60d_high_pct,ema20_slope10_pct,higher_low_score,range10_pct,range20_pct,range10_vs20,range10_vs_prev20,atr10_vs40,vol10_vs40,up_days20_pct,ret_std10_pct,near_high_5,shallow_pullback_8,range_contract_075,range_vs_prior_075,volume_dry_080,volume_expand_110,atr_contract_080,atr_expand_110,trend_stack,higher_lows_2of2,ema20_gt_ema50,close_gt_ema20
BBVA,CONTROL,2026-04-27,0.0,-10.711947316579472,-21.596608371374572,12.468093114590651,13.370139907882821,2.745168852726887,1,13.014975186609412,22.87023202184555,0.5690792806202212,0.673816743025919,0.8120935457644777,0.8136030923011132,60.0,2.217766301130391,False,False,True,True,False,False,False,False,False,False,True,False
BBVA,GAP,2026-07-30,6.313331445310899,23.187709752265363,-5.857199519599288,3.4975565996199074,3.4975565996199074,2.2792676092760367,2,6.787150843166834,7.4777704065682515,0.9076436523385636,0.6725449131451195,1.1391306821249219,0.7194710959215603,50.0,2.357363009694058,True,True,False,True,True,False,False,True,True,True,True,True
BBVA,CONTROL,2026-02-05,0.0,9.952614852330278,-11.145148875335053,11.145148875335051,11.450377695384734,3.526928934519269,2,13.174946499088813,13.174946499088813,1.0,1.519070539066437,1.5981086572878536,1.2571648300002747,60.0,3.6348195377459627,False,False,False,False,False,True,False,True,False,True,True,False
BBVA,CONTROL,2026-04-20,0.0,-4.188346446818758,-22.137112745519737,8.371622679305553,8.686378949094621,6.984697801643414,1,14.663797023097969,22.87023202184555,0.6411739508847646,1.36211826798692,0.9699134390282264,0.8884654542737318,60.0,2.4381345835304358,False,False,True,False,False,False,False,False,True,False,True,True
BBVA,CONTROL,2026-07-01,0.0,15.930378644833954,-12.662475511363358,0.3192335411450348,0.47809098569572134,4.816725322543958,1,4.67056238787964,14.039073695842808,0.3326830878637433,0.336436186842547,0.8320898503283325,0.9376418398318935,65.0,1.1968238939453706,True,True,True,True,False,False,False,False,True,False,True,True
IDT,GAP,2026-06-04,5.478443127079791,4.763140159229762,-8.518874282540267,3.4661481850447644,3.7756071755040463,2.3356261855390192,2,8.944514355958844,9.305047657496225,0.961254008060138,0.8436571697205545,1.1209314026472783,1.1230273620682625,55.00000000000001,1.6990473025525465,True,True,False,False,False,True,False,True,True,True,True,True
IDT,CONTROL,2025-12-10,0.0,-24.532277799934942,-31.64904080414207,26.25599493903506,26.85571121015077,-1.1490788811114205,0,14.143768373280817,14.143768373280817,1.0,1.4173366157645741,1.458822742205816,1.1733250524027639,45.0,1.9103491230818153,False,False,False,False,False,True,False,True,False,False,False,True
IDT,CONTROL,2026-02-24,0.0,-1.8994452880539692,-10.666420462378301,7.154997996400671,9.060656380326758,-0.0744573816831573,1,6.425530533856572,7.269995922386796,0.8838423848451101,0.5331362683032196,1.091435224012964,1.1803154356631906,50.0,1.2820797118226226,False,True,False,True,False,True,False,False,False,False,False,True
IDT,CONTROL,2026-05-06,0.0,7.460851399937529,-9.999993442483913,0.0,1.7186597734617444,1.6233768771986457,1,8.514086452240877,9.602779391384676,0.8866273091600395,0.7126381163141262,1.1430555297282357,0.8595509547457508,55.00000000000001,1.5672953756981665,True,True,False,True,False,False,False,True,True,False,True,True
DSGR,GAP,2026-07-16,26.310042440590053,0.32858763999061846,-6.15169588023371,3.9496715973727787,4.417392896569294,-0.5113497021504876,1,4.887215106831966,8.08270521690677,0.6046509152170082,0.6643638047461257,0.8323231706715593,0.6834957660968206,35.0,0.9042129361745884,True,True,True,True,True,False,False,False,True,False,True,True
